question,answer,image_id
what is on the show piece shelf,mirror,image1326
how many flags are visible,1,image1326
what is on the sofa,pillow,image1327
what is on the left side of the sofa,television,image1327
how many pictures are there on the wall,2,image1327
what is behind the chairs,blinds,image1328
what is in between the chairs,lamp,image1328
what is beneath the lamp,table,image1328
what is in front of the lamp,books,image1328
how many pillows are there on the sofa,5,image1333
what in the wall,picture,image1333
what is on the right side of the sofa,chair,image1333
what is the colour of the sofa,brown,image1334
how many drawers are visible,5,image1342
what is in front of the chair,table,image1343
what is in front of the table,sofa,image1343
what is on the wall,picture,image1344
what is the largest object,table,image1344
what is on the left side of the chairs,curtain,image1344
what is behind the table,chair,image1345
what is the colour of the table,white,image1346
what is on the wall,picture,image1346
what is the colour of the table and chair,brown,image1350
what is behind the chairs,window,image1350
how many switchboards are there,2,image1351
what is behind the chair,door,image1352
how many pictures are there,2,image1352
what is the colour of the table cloth,white,image1357
what is on the wall,picture,image1358
what is in front of the table,chair,image1358
what is on the left side of the table,blinds,image1359
what is the colour of the blinds,white,image1360
what is the colour of the floor,brown,image1360
what is the colour of the chair,red,image1361
how many drawers are there,4,image1362
what is beneath the drawers,door,image1362
what is in front of the drawers,chair,image1362
how many pictures are there,4,image1366
what is the largest object,table,image1366
how many candle holders are there,4,image1367
what is on the wall,picture,image1367
what is the colour of the table,brown,image1367
what is the colour of the table,brown,image1371
what is on the chair,pillow,image1371
what is on the wall,picture,image1372
how many chairs are there,4,image1373
what is on the left side of the rack,chair,image1374
how many drawers are there,4,image1374
what is in between the racks,picture,image1376
what is beneath the picture,table,image1377
how many switch boards are there,2,image1378
how many candle holders are there,3,image1380
what is behind the chairs,door,image1381
what is on the door,curtain,image1381
what is on the wall,mirror,image1382
how many pictures are there,3,image1382
what is behind the chair,door,image1393
how many tables are there,3,image1402
what is the colour of the table,white,image1402
what is behind the chairs,door,image1402
what is on the right side of the switch board,door,image1403
what is amidst the chairs,table,image1404
what is the colour of the table and chairs,brown,image1404
what is behind the chairs,curtain,image1404
what is on the left side of the flower vase,mirror,image1405
what is on the right side of the flower vase,picture,image1405
how many chairs are visible in the picture,5,image1405
what is behind the chair,curtain,image1405
how many doors are visible,2,image1406
what is on the wall,picture,image1415
what is the colour of the table,white,image1416
what is behind the scissors,chair,image1416
what behind the chairs,blinds,image1416
how many black coloured wall decorations are there,3,image1417
what is on the either side of the wall decoration,curtain,image1418
how many furnitures are there,4,image1420
what is in front of the sofa,table,image1420
what is on the chair,pillow,image1420
what is on the left of the decorative item on the wall,curtain,image1420
what is beneath the lamp,table,image1426
what is amidst the chairs,table,image1426
what is the colour of the table,black,image1427
what is in front of the wall,table,image1428
how many pictures are visible,3,image1428
what is in front of the wall,table,image1429
how many sofas are there,2,image1429
what is on the left side of the yellow and gray sofa,lamp,image1429
how many windows are there,5,image1429
what is in front of the white sofa,table,image1429
what is in front of the left side wall,table,image1434
what is in front of the wall,table,image1435
how many chairs are around the table,4,image1436
what is in front of the wall,table,image1436
how many knobs are viisble,5,image1436
what is on the left side of the wall,door,image1436
how many pictures are visible,4,image1437
what is benhind the candle holder,window,image1438
what is beneath the flower vase,clothes,image1439
how many pictures are visible,3,image1439
how many black chairs are there,3,image1440
what is behind the candle holder,window,image1440
how many doors are,2,image3
what is the colour of the telephone,black,image3
what is in front of the table,chair,image4
how many cameras are,3,image5
how many chairs are,4,image5
how many lights are placed in the wall,3,image6
what is the colour of the computer,black,image6
how many tables are available,3,image6
how many wooden stands are,1,image6
what colour is the wall painted,white,image6
how many monitors are,3,image7
how many chair and table are together,4,image7
how many ladders are,1,image7
what is the colour of the ladder,red,image7
white what is screen border colour,black,image7
how many stands are available to hold computer,3,image7
how many doors are opened in the room,1,image8
what is to the left of wall,garbage_bin,image8
how many switches are there on the switch board,2,image8
what is to the right of wall,chair,image8
what is the colour of the chair,brown,image8
how many shelves are on the wall,1,image10
how many sections in the shelf,4,image10
how many doors are,1,image12
how many cupboards are,3,image12
how many lights are switched on,2,image12
how many lights are off,2,image12
how many water sprinklers are,1,image12
what is the colour of the door,white,image12
how many cupboards are on the wall,3,image13
what are stuck on the cupboard,photo,image13
how many blades in table fan,3,image13
what is the colour of computer,white,image13
how many tables,1,image19
what is below cpu,table,image20
what is colour of cpu,black,image20
what is to the right of table,garbage_bin,image22
what is on the chair,clothes,image23
what is the colour of the clothes,black,image23
what is to the right of printer,shelves,image24
what is the colour of the cabin,black,image25
what is above the cabin,bookshelf,image25
how many chairs around the table,5,image26
what is the colour of the chair,red,image26
what is the colour of the telephone,black,image27
what is the colour of the toilet,white,image45
what is above the wash basin,shelves,image48
what is to the left of basin,door,image48
what is to the left of sink,shelves,image49
what is to the right of sink,door,image49
what is the colour of screen,white,image50
what is to the left of the sofa,lamp,image50
what is to the right of the painting,bookshelf,image51
what is below the painting,sofa,image51
what is on the sofa,pillow,image51
what is below the frames,sofa,image51
what is on the wall,bookshelf,image52
what is below the painting,table,image52
what is to the right of table,lamp,image52
what is in front of of bookshelf,chair,image53
what is behind the kitchen,garbage_bin,image53
what is the colour of the table,brown,image54
what is to the left of painting,lamp,image55
what is to the left of lamp,shelves,image55
what is on the bed,pillow,image58
how many pillows,2,image58
what is to the right of cot,shelves,image64
what is in front of pink cover,shelves,image69
what is to the left of cot,table,image70
what is above the cot,shelves,image71
what is to the right of cot,table,image73
how many windows,2,image74
what is colour of the window screen,red,image74
what is above the closet,clothes,image75
how many steps are,3,image96
what is behind the cup stand,bookshelf,image98
how many steel racks are,2,image101
how many sections are in the steel rack,3,image101
how many sections are available in the shelf,3,image102
how many racks are available in the shelf,5,image102
how many racks are in the steel,2,image103
what is to the left of steel rack,shelves,image103
how many blocks of frames are in the table,4,image103
what is in the left,bookshelf,image104
what in the right,bookshelf,image104
how many stools are available,2,image105
how many boxes are,4,image106
what is to the right of the boxes,bookshelf,image106
how many boxes are attached with bills,3,image106
how many pillars are,3,image107
what is the colour of the pilar,white,image107
what is on the table right of pillar,books,image108
what is to th left of ladder,table,image109
what is on the table,books,image110
how many stands are in front of the table,2,image110
how many monitors on the table,3,image111
what is the colour of the monitor,black,image111
what is under the shelf of the table,books,image112
what is in front of the bookshelf,books,image113
what is the colour of the books in front of the bookshelf,red,image113
what is in the corner of the kitchen island,lamp,image122
how many blackboards are,3,image122
what is in front of the kitchen island,garbage_bin,image123
what is to the left of the shelf on the wall,picture,image130
how many cables are plugged to the switch box,2,image139
how many knobs in the stove,4,image141
what is the colour of the food inside the bottle,red,image143
how many door handles are in the shelf,2,image143
what is the colour of the shelf,white,image145
what is to the left of the stool,television,image146
what is the colour of the tv,black,image147
what is inside the frame,photo,image147
what is on the floor,picture,image148
what is at the corner of the room,lamp,image148
what is above decorative plant,picture,image149
how many pictures are on the wall,3,image150
what is near the lamp,sofa,image151
what is on the sofa,pillow,image151
what is colour of the sofa,brown,image151
what is near the wall,shelves,image152
what is is in the third rack of the shelf,books,image152
what is near the television,sofa,image156
how many pillows are on the sofa,2,image156
what is on the window seater,books,image156
how many chairs are in front of the table,2,image157
how many glass box are visible,3,image159
what is the big object,sofa,image160
what is the colour of the sofa,black,image160
what is the object black in colour,chair,image161
what is in the corner of the shelf,lamp,image161
what is the dark colour shirt in the wardrobe,red,image162
what is the big object,television,image163
what is behind the wall,chair,image163
what is on the television stand,television,image164
what in the middle of the television stand,books,image164
what is to the right of stacked chairs,chair,image165
what is behind the wall,door,image165
what is big object,sofa,image166
what is the colour of the sofa,white,image166
what is behind the sofa,table,image166
what is the colour of the table cloth,white,image166
how many chairs are around the table,chair,image166
what is left of the table,lamp,image166
what is above the sink,mirror,image170
how many pictures are on the wall,2,image177
what is on the window seater,books,image178
what is the right of the bed,table,image178
what is above the night lamp,picture,image178
how many lamps are,3,image179
what is below the picture,sofa,image179
what is on the sofa,pillow,image179
what is the colour of the microwave,white,image203
what is the colour of the kitchen,white,image203
what is the colour of the kitchen,white,image204
what is the colour of the bowl,white,image204
what is the colour of toaster oven,black,image205
what is the colour of the self,white,image206
what is the colour of knife,black,image206
what is the colour of the chair,red,image213
what is behind the computer,shelves,image213
what is the colour of microwave,white,image214
what is in front of the table,chair,image215
what is the colour of chair,red,image215
how many computers are there,2,image216
what is in front of the computer,chair,image216
what is the colour of bricks,brown,image216
what is above the lamp,picture,image217
what is the colour of pillow,white,image217
what is colour of bed sheets,white,image217
what is in front of the bed,television,image218
what is to the right of television,window,image218
what is the colour of window cover,brown,image218
what is behind the television,picture,image218
what is the colour of the walls,white,image219
what is behind the bed,window,image219
what is in front of the window,chair,image219
what is behind the chair,books,image219
what is to the left of sofa,chair,image223
what is behind the chair,table,image223
what is behind the table,shelves,image223
what is in front of the chair,table,image224
how many chairs are,2,image224
what is behind the chair,shelves,image224
what is the colour of top the woman is wearing,white,image225
what is the colour of floor,brown,image225
what is the colour of the sofa,white,image226
what is to the left of the sofa,table,image226
what is the colour of the table,brown,image227
what is the colour of pillar,brown,image228
what is hanging from the roof,lamp,image228
what is behind the sofa,shelves,image229
what is the largest object,shelves,image229
what is behind the shelf,sofa,image230
what colour are the utensils,brown,image230
what is the largest object,shelves,image231
what is on the shelves,pillow,image231
what is placed on the sofa,pillow,image232
what is the colour of the wall,white,image232
what colour shirt is the man wearing,black,image232
what is the largest object,shelves,image233
what is placed on the shelves,pillow,image233
what is in front of the shelf,bed,image233
what is behind the woman,shelves,image234
what is the colour of shelf,brown,image234
what colour is the wall,white,image235
what is to the left of the table,shelves,image235
how many chairs are,2,image236
what is the colour of the table,black,image236
what is the largest object,shelves,image236
what is the colour of sofa,white,image237
what is behind the sofa,window,image237
what is the largest object,shelves,image238
what is in front of the table,sofa,image238
how many chair are,2,image238
what is placed on the shelf,pillow,image238
what is the colour of shelf,white,image239
what is in front of the shelf,table,image239
what is to the right of the bed,mirror,image240
what is the colour of wall,white,image240
what is in front of the shelf,sofa,image241
what is to the left of the shelf,window,image241
what is to right of the shelf,lamp,image242
what is in front of the sofa,table,image242
what is the largest object,shelves,image242
how many chairs are,2,image243
what is the colour of walls,white,image243
what is the colour of pipe,red,image244
how many chair are,2,image244
what is the colour of sofa,black,image244
what is placed behind the sofa,lamp,image244
what is behind the sofa,shelves,image245
how many sofa are,2,image245
what is placed on the sofa,pillow,image245
what is in front of the shelf,sofa,image246
what is the colour of wall,white,image246
what is to the right of the sofa,mirror,image247
what is to the left of the sofa,table,image247
what colour is the pillow,white,image247
what is behind the sofa,chair,image247
what is to left of the chair,sofa,image248
what is the colour of chair,brown,image248
what is behind the sofa,chair,image249
what is on the sofa,pillow,image249
what is left of the stove,door,image251
what is above sink,shelves,image252
what is above sink,shelves,image253
what is the colour of wall,white,image254
what is right of shelf,television,image254
what is on the shelf,books,image254
what is on sofa,pillow,image255
what is above laptop,shelves,image256
what is the colour of chair,red,image256
what is largest object,shelves,image257
what is right of shelf,door,image257
what is behind the sofa,table,image258
how many chair are,5,image258
what is the colour of wall,white,image258
what is right of television,shelves,image259
what is on the shelf,books,image259
what is colour of wall,brown,image259
how many chair are,2,image260
what is the colour of floor,brown,image260
what is on the sofa,pillow,image261
what is left of sofa,lamp,image261
what is colour of wall,white,image262
what is right of shelf,television,image262
what is placed on the shelf,books,image262
how many stools are,2,image263
what is behind the stool,table,image263
what is in front of table,chair,image265
what is behind the chair,lamp,image265
what is the colour of wall,white,image266
what is behind the wall,table,image266
what is right of sofa,lamp,image268
what is in front of sofa,table,image268
how many chairs are,3,image269
what is behind chair,window,image269
what is colour of window screen,white,image269
what is right of chair,sofa,image269
what is in front of table,sofa,image270
what is behind sofa,table,image270
what is colour of floor,brown,image270
what is right of chair,door,image274
what is in front of table,door,image275
what is largest object,table,image276
what is behind the table,window,image276
how many chair are,4,image277
what is left of chair,window,image277
what is right of chair,garbage_bin,image277
what is behind chair,door,image277
what is left of table,garbage_bin,image278
what is right of table,window,image286
what is on the table,books,image286
what is behind the table,shelves,image286
what is behind the computer,picture,image287
what is behind the shelf,window,image288
what is colour of window screen,white,image288
what is in the shelf,books,image288
what is the colour of wall,white,image289
what is in front of board,table,image289
what is in the wall,picture,image289
what is above the board,picture,image290
what is left of board,shelves,image290
what is in shelf,books,image290
what is right of table,shelves,image291
what is right of shelf,door,image291
what is left of table,door,image292
what is in the wall,picture,image292
what is behind the table,window,image293
how many chair are,5,image293
what is right of table,garbage_bin,image294
what is in the wall,picture,image294
what is left of shelf,door,image295
what is behind the table,garbage_bin,image295
how many kids are sitting,3,image303
what is behind the kids,table,image303
what is below the window,picture,image303
which object the students are sitting,chair,image304
what is the colour of the dress the teacher wearing,black,image304
how many students are visible,3,image305
what is in front of the wall with tree drawing,table,image305
what is to the left of the drawer,chair,image306
how many chairs are in front of the teacher,2,image306
how many students are to the left of the teacher,3,image306
how many students are to the right of the teacher,2,image306
what is below the map,shelves,image308
how many computers are on the table,2,image309
what is to the right of the computer table,chair,image309
how many red bags are visible,3,image313
what is to the right of the bag hooks,shelves,image313
how many girls are,5,image318
what is behind the girls,bookshelf,image318
which colour is more,red,image318
how many bottles are on the table,4,image319
what is to the right of the table,chair,image319
what is behind the teacher,shelves,image319
what is stuck at the right corner of the framed certificates,photo,image319
how many kids are standing behind the door,1,image321
what is behind the toy house,chair,image322
what is in front of the chair,table,image323
how many legs are visible for the table near to the shelf,2,image324
what is under the computer table,garbage_bin,image337
what is to the left of the computer table,shelves,image337
how many chairs are,2,image338
how many decorative plant is on the table,3,image340
what is in front of the table,chair,image341
what is behind the chair,window,image341
what is to the left of the window,door,image341
what is in front of the table,shelves,image342
what is near the plant,lamp,image342
how many lamps are on the shelf,3,image343
how many chairs are away from the table,3,image343
what is colour of the shelf on the top,black,image343
what is to the right of the picture frame,shelves,image344
what is behind the wall,door,image347
how many exercise equipments are,5,image349
what is in front of the treadmill,television,image349
what is behind the tricycle,window,image350
what is on the chair in front of the piano,clothes,image354
what is in front of the ladder,chair,image365
what is in front of the sofa,chair,image368
what is to the right of the sofa,table,image368
how many drawers are in the table,3,image370
what is under the table,garbage_bin,image370
what is behind the table,chair,image371
what is in front of the chair,picture,image371
what is to the left of shelves,sofa,image372
what is in front of the sofa,table,image372
what is the colour of the wall,red,image374
how many books are at the corner of the table,3,image374
what is the colour of the table,brown,image375
what is on the sofa,books,image375
which object is more,books,image375
what is below the laptop table,garbage_bin,image376
what is in front of the laptop,chair,image376
what is to the left of the table,shelves,image378
what is in between sofas,lamp,image379
how many remote control,2,image379
what is in front of the sofa,table,image380
how many computers are on the table,2,image381
how many chairs are around the table,4,image382
what is to the left of the table,sofa,image383
what is the colour of the sofa,brown,image383
what is to the left of the table,chair,image391
what is the colour of the laptop,white,image393
what is at the corner of the wall,lamp,image398
what is to the left of the toy house,shelves,image399
what is in front of the shelf,chair,image399
what is inside the box near to the shelf,clothes,image400
what is on the left of the toy house,shelves,image401
what is behind the baby chair,television,image402
what object is,chair,image403
what is on the table near the washing machine,clothes,image405
what is to the right of the shirts,shelves,image406
what is under the sink,garbage_bin,image408
what is below the sink,garbage_bin,image417
what is to the left of the shelf,bed,image418
what is in front of the shelf,chair,image418
what is on the chair,clothes,image418
what is in front of the bed,table,image419
what is to the right of the computer,lamp,image421
what is below the table,garbage_bin,image421
what is below the window near the sofa,pillow,image423
what is in the middle of the shelf,television,image427
what is in front of the television,chair,image427
what is near the exercise machine,chair,image429
what is the colour of the television,black,image429
what is on the shelf,television,image437
what is to the right of the game table,table,image438
what is on the wall above the computer,picture,image438
which object is large,sofa,image439
what is at the corner of the shelf,bookshelf,image450
what is on the wall,picture,image451
what is to the right of the table,chair,image452
what is in front of the chair,garbage_bin,image454
how many chairs,2,image455
how many pots are in the room,3,image457
what is in between the table,chair,image458
how many chairs,3,image459
what is behind the chair,window,image459
what is near the chair,table,image461
how many chairs around the table,4,image468
how many chairs,2,image478
what is behind the piano,bookshelf,image479
what is to the left of the bookshelf,sofa,image479
what is to the left of the window,bookshelf,image480
what is in the object,sofa,image483
what is in front of the of the sofa,bookshelf,image483
what is the colour of the computer,white,image485
what is the large object in the room,sofa,image486
what is on the night stand,lamp,image487
what is on the sofa,pillow,image488
what is to the left of the sofa,lamp,image488
how many doors on the refridgerator,2,image489
what is behind the boxes,shelves,image490
what is above the toilet,towel,image497
what is in front of the wash basin,mirror,image499
what is reflected,towel,image499
what is left of the toilet,garbage_bin,image499
what is the colour of wall,white,image502
what is to right of towel,shelves,image502
what is colour of door,brown,image503
what is above sink,mirror,image503
what is the colour of wall,white,image504
what is the colour of towel,brown,image505
what is above sink,mirror,image505
what is to the right of toilet,door,image506
what is colour of wall,white,image507
what is left of sink,garbage_bin,image507
what is the colour of garbage bin,white,image507
what is to left of bed,lamp,image514
what is on bed,pillow,image514
what is the largest object,bed,image514
what is the colour of floor,brown,image514
what is above the bed,window,image527
what is in front of bed,shelves,image527
what is on bed,pillow,image527
what is right of table,bed,image528
how many computer,2,image528
what is left of printer,mirror,image529
what is in wardrobe,clothes,image529
what is left of shelf,window,image530
what is in front of window,bed,image530
what is the colour of wall,white,image530
what is left of bed,window,image534
what colour is the screen,red,image534
what is right of bed,table,image534
what is in front of bed,shelves,image535
what is on the shelf,books,image535
what is to right of shelf,door,image535
what is largest object,bed,image535
what colour is the screen,red,image536
what is largest object,shelves,image540
what is in front of shelf,bed,image540
what is on bed,pillow,image540
what is behind the bed,window,image541
what is right of bed,table,image541
what is in front of table,garbage_bin,image541
what is right of shelf,door,image542
what is on shelf,books,image542
what is in front of shelf,bed,image542
what is in the basket,clothes,image543
what is the largest object,shelves,image543
what is right of shelf,door,image543
what is above table,window,image544
what is the colour of window,red,image544
how many chair are,3,image545
what is on the table,books,image545
what colour shirt is the man wearing,white,image545
what is right of table,window,image545
what is largest object,table,image546
what is behind the chair,sofa,image546
what is right of sofa,lamp,image546
what colour is the wall,white,image547
what is behind the chair,sofa,image547
what colour is the door,brown,image548
what is in front of stand,books,image548
what is above books,window,image548
what is right of computer,shelves,image552
what colour is the wall,white,image553
what is behind the chair,door,image554
what is left of computer,window,image554
what is on the wall,picture,image572
what is above the sink,window,image575
what colour is the shelf,brown,image576
what is the table colour,white,image577
what is in front of table,shelves,image577
what is left of shelf,door,image578
what is above the fan,window,image584
what is to right of computer,lamp,image585
what is in front of computer,chair,image585
what is on the shelf,books,image585
how many chair are,2,image586
how many chair are,3,image587
what colour shirt is the man wearing,white,image587
what is right of sofa,lamp,image588
what is right of lamp,chair,image588
what is above the chair,picture,image588
what is behind the chair,window,image589
what is right of sofa,window,image590
what is colour of television,black,image595
how many chair are,3,image596
what is in front of table,window,image596
what is to right of window,shelves,image596
what is the largest object,television,image597
what is to left of television,door,image597
what is behind the door,table,image597
what is to right of sofa,door,image598
what is behind the sofa,window,image598
what colour is the wall,white,image599
what is the colour of sofa,brown,image599
what is above the sofa,picture,image600
what is the colour of floor,brown,image600
what is in front of the sofa,table,image601
what is at the corner of the room,garbage_bin,image608
what is in front of the notice board,lamp,image614
what is near the door,shelves,image615
what is on the wall to the right of paper stand,picture,image616
what is near the table,chair,image616
what is at the left corner of the room,shelves,image622
what is on the shelf,books,image623
what is on the wall in between the shelves,picture,image623
what is to the right of the shelf,bookshelf,image626
what is to the left of the container,lamp,image627
what is to the left of the lamp,books,image627
what is in front of the plant,clothes,image628
what is the colour of the folder behind the clothes,red,image628
how many sofa are,3,image630
what is in front of the sofa,table,image630
what is inbetweeng the sofa left,table,image631
what is near the sofa in the left,garbage_bin,image632
what is behind the sofa on the wall,lamp,image632
what is at the corner of the shelf,books,image639
what is to the right of the ping pong table,shelves,image641
what is at the centre of the wall,television,image642
what is below the television,table,image642
what is at the left corner of the table,books,image642
what is the colour of the first book in the second rack of the shelf,red,image646
what is the colour of the curtain,white,image652
what is hanged behind the curtain,towel,image652
what is stuck on the wall,picture,image652
how many faucet handles are there,2,image653
how many toothbrushes are there,2,image653
how many towels are hanged,4,image654
how many towels hanged on the bottom,3,image654
what is the curtain colour,white,image655
what is the colour of the towel,brown,image659
how many sinks are there,2,image661
how many windows are there in the room,1,image661
how many towels are there in the room,1,image661
how many towels are there,1,image665
what is the colour of the towel,white,image665
how many sinks are there,1,image665
how many faucet handles are there,2,image665
what is the colour of the towel seen,white,image666
what is the curtain colour,white,image666
what is stuck to the right side of the mirror,photo,image666
how many drawer handles are there,4,image666
what is the colour of the towel seen,white,image667
what is found on the top of the towel rod,photo,image667
what is the curtain colour,white,image667
how many towels are there,3,image674
how many faucet handles are there,2,image674
how many drawer knobs are there,3,image674
how many towels are there,3,image675
how many faucet handles are there,2,image682
what is the colour of the object on the left side of the sink,red,image682
how many vases are there to the right side of the floor mat,3,image683
how many towels are there,1,image684
how many faucet handles are there,1,image684
how many faucet handles are there,2,image691
how many objects on the side of the wall,5,image692
how many objects on the corner of the bathtub,3,image692
how many drawers found on the right side,2,image695
what is the colour of the sink top,white,image695
how many handles are there,2,image695
what is found behind the sink,mirror,image695
how many drawer knobs are there,4,image695
how many bathtub knobs are there,2,image696
how many objects are there in the left corner of the bathtub,2,image696
how many towel rods are there,1,image696
how many faucet handles are there,2,image700
how many drawer handles are there,4,image700
what is the colour of wall,white,image701
what is to right of sink,window,image702
what is above sink,mirror,image702
what is to left of sink,door,image702
what is kept on the floor,garbage_bin,image703
what is the colour of towel,brown,image705
what is above sink,mirror,image705
what colour is the wall,brown,image714
what colour is the bath tub,white,image714
what is right of door,shelves,image715
what is placed in the shelf,towel,image715
what is the colour of shelf,white,image715
what is in front of sink,shelves,image716
what is behind sink,mirror,image716
what is left of sink,towel,image716
what is colour of wall,white,image716
what is the colour of wall,white,image719
what is behind the sink,mirror,image720
what is to right of sink,window,image720
what is the colour of sink,white,image721
what is in front of toilet,door,image722
what is to left of toilet,towel,image723
how many knobs in wash basin cupboard,4,image729
how many flower vases on the table,1,image735
how many legs in the stool,4,image735
how many wash basins are there,2,image735
how many objects on bathtub,4,image736
how many plant vases are there,3,image736
how many trays in plastic cupboard,5,image737
how many bottles on bathtub,3,image737
what is the colour of the tissue roll,white,image738
how many racks in shelves,5,image739
what is the colour of plug,black,image739
what is the colour of screen,red,image740
how many draw displayed,4,image740
how many draw handle displayed,2,image741
what is the colour of draw handle,black,image741
how many blue bottles in basket,1,image741
how many black rods in the mirror view,2,image741
how many garbage bins are there,1,image742
what is the colour of garbage bin plastic cover,white,image742
what is the colour of the screen,red,image742
how many chairs are there,4,image745
what is the colour of chair,brown,image745
how many cupboards are there,5,image746
how many legs in each chair,4,image746
how many bottles on wooden desk,1,image746
what is the colour of chair cushions,white,image746
how many yellow colour fruits are there,5,image747
how many blue legs displayed,5,image747
what is the colour of the can,white,image747
what is the colour of the round table mat,white,image747
how many windows are there,3,image748
how many flower vases on window,4,image748
what is the colour of the flower vase stand,black,image748
how many cupboards are there,4,image749
how many chairs in between draws,1,image749
what is the screen colour of computer,white,image749
how many apples are there,3,image750
how many bananas are there,3,image750
how many cupboards are there in the wall,3,image751
what is the colour of juice maker,white,image751
how many tea cups are there,2,image751
how many carpets are there one the floor,2,image752
what is the colour of the door,brown,image752
how many microwave ovens are there,2,image752
how many photos found on the room,1,image753
what is the colour of the water bottle,white,image753
how many apples are there,2,image753
how many knifes are there on the table,3,image753
how many cupboards are there on the top,2,image753
what is the colour of the tea pot,white,image754
what is the chair colour,brown,image754
how many chairs are there,1,image754
how many photographs are there,1,image754
how many chair legs you can see,2,image754
how many handles can you see in stove,4,image755
what is the colour of the tea pot,white,image755
what is the colour of the door,brown,image755
how many stools found,3,image756
how many coffee machines are there,1,image756
how many juicers are there,1,image756
how many stools can you see,2,image757
how many chairs can you see,3,image757
what is the colour of the sofa,white,image757
what is the colour of the table mat,white,image757
what is the colour of the table mat,white,image758
what is the colour of the bowl,white,image758
how many plant pots are there,3,image758
how many table mats are there,2,image758
how many chairs are there,4,image758
how many top lights are there,3,image788
what is the colour of cupboard,brown,image788
what it the colour of cupboard border,black,image788
how many top lights on,4,image789
how many silver wash basins are there,2,image790
what is the colour of closed door,white,image790
what is the colour of cupboard handle,black,image790
what is the colour of the cupboard border,black,image791
what is the handle colour of the cupboard,black,image791
what is the colour of the oven,white,image791
what is the colour of the door,white,image791
how many cupboards are there,2,image792
how many windows are there,2,image792
what is the colour of the cupboard handles,black,image792
what is the colour of the oven,white,image793
how many bananas are found,1,image793
what is the border colour of the dinning table,red,image794
how many chairs are there,5,image794
how many photos are on the wall,3,image794
how many window splits are there,5,image794
how many drawers are there,2,image795
how many ceiling lights are there,1,image796
how many chairs can you see,1,image796
what is to the left of the chair,door,image796
what is the colour of the refridgerator,black,image797
what are the things stuck on the refridgerator,photo,image797
how many chairs are there,2,image797
what is behind the chair,door,image797
what is the colour of the chair seat,white,image797
what is stuck on the wall,photo,image797
what is the colour of the chair arm,black,image798
what is the colour of the chair seat,black,image798
how many doors are there,2,image798
what is the colour of the plant vase,black,image798
how many photo frames stuck on the wall,3,image798
how many chairs are there,3,image799
what is the colour of the refridgerator,black,image799
what is the colour of the floor mat,red,image805
how many chairs are there,2,image806
how many faucet handles are there,1,image807
how many handles are there,4,image808
what is on the right side and behind the chair,window,image809
what is stuck on the wall which is to the right side of the refridgerator,photo,image815
how many chairs are there,4,image816
how many book racks are there,2,image817
what is the colour of the cover of the coffee machine,black,image817
what object is found behind the vase,window,image818
how many chairs are there,3,image824
what is found at the top left,window,image824
what object is found to the left side of the dishwasher,garbage_bin,image826
what is the colour of the garbage bin,white,image827
how many knobs are there in the oven,3,image827
what is found opposite to the table,window,image828
how many chairs found near the computer table,2,image828
what is found left to the window,door,image828
how many vases found in the middle storage rack,3,image829
what is the chair type found,chair,image830
what is found in between the storage racks,window,image830
what is the colour of the refridgerator,white,image830
how many handles are there for the refridgerator,2,image831
how many switch boards stuck on the wall,2,image831
what is stuck on the wall of the left side,photo,image847
how many kitchen towels are there,2,image847
how many knifes are there in the knife rack,4,image855
what object is mounted on the wall in the middle,photo,image856
what object is found behind the tissue roll,chair,image856
what is hanged in the chair,clothes,image863
how many chairs are found,5,image863
what is the object on the wooden chair,towel,image864
what is the colour of the paper stuck to the steel chair,white,image864
what is the object near the right leg of the steel chair,garbage_bin,image864
what is found in between the storage racks,window,image866
what is the colour of the gloves stuck to the refridgerator,black,image866
how many gloves are stuck to the refridgerator,3,image866
how many doors are found,2,image867
what is the blue colour object hanged,towel,image872
how many containers are there,3,image872
how many lights are above the table,3,image875
what is the object found near the table,garbage_bin,image876
what is the colour of the fruit near the oven,red,image876
what object is found behind the table,chair,image876
how many drawer handles are there,4,image876
what is on the dishwasher,towel,image877
what is the object found near the table,garbage_bin,image877
how many chairs are there,4,image877
what is stuck on the wall,photo,image877
what is the colour of the chair,black,image878
what is stuck on the wall of the left side,photo,image878
what is found behind the dining table,window,image878
what is stuck on the wall to the left side of the table,photo,image879
what is found to the right side of the table,television,image879
what is found in front of the door,table,image880
how many chairs are there,4,image880
what is the colour of the light,white,image880
how many racks are there on the left side,5,image880
what are the objects found on the bottom left corner,books,image881
what is the colour of the base on which coffee machine is place,red,image881
how many steps are there in the step stool,2,image884
what is found near the wall,lamp,image885
how many ceiling lights are there,2,image885
how many chairs are seen,1,image886
what is the colour of the flower in the flower vase,red,image886
how many windows found to the opposite of the table,2,image888
what is stuck on the wall,photo,image888
what is the colour of the seat of the chair,white,image888
what is stuck on the wall,photo,image889
how many ovens are found near the wall,2,image889
what are found under the table,chair,image890
how many faucet knobs are there,1,image891
what is the colour on the packet near the sink,red,image893
how many switchboards are stuck on the wall,2,image893
how many vases found,2,image894
what is the colour on the packet near the sink,red,image894
what object is stuck on the wall,clothes,image894
what is the object on the chair,towel,image895
what is the object found at the top of the electric cooker,towel,image897
how many white colour knifes are there in the knife rack,2,image898
what is the object kept below the storage rack,photo,image899
how many photos are there,2,image899
what are the objects found around the table,chair,image900
what is the object stuck on the wall,photo,image900
